"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1171","turquoise","GO:0050663","cytokine secretion","25/310","230/17913",2.60960442968214e-13,1.24301599231477e-11,9.13361550388748e-12,"199/9447/11118/114769/834/6363/1236/929/914/29126/56253/1436/2213/2219/115362/84868/3937/114548/5027/5734/5552/23208/51311/7128/7133",25
"1199","turquoise","GO:0048872","homeostasis of number of cells","23/310","241/17913",3.57819226291841e-11,1.19608935615532e-09,8.78880107332403e-10,"729230/1236/972/11151/55619/139818/2113/2207/1880/3059/10320/3575/3635/3718/3988/9935/5027/5293/54440/10019/7128/608/10673",23
"1231","turquoise","GO:0045730","respiratory burst","9/310","34/17913",4.44782683982908e-09,1.12550868235987e-07,8.2701780303072e-08,"1043/1536/3055/3512/4688/5293/5294/5880/56833",9
"1242","turquoise","GO:0042108","positive regulation of cytokine biosynthetic process","11/310","63/17913",9.6622307906984e-09,2.2354261093623e-07,1.64257923441873e-07,"729230/940/1536/3659/4050/5588/5724/5788/51284/51311/7305",11
"1268","turquoise","GO:0002791","regulation of peptide secretion","28/310","483/17913",2.50465532552888e-08,4.91671430265942e-07,3.61277556045984e-07,"199/9447/348/114769/834/6363/6352/1236/929/914/29126/952/972/56253/1436/2213/2219/84868/114548/10062/5027/5734/51762/5552/23208/51311/7128/7133",28
"1275","turquoise","GO:0006874","cellular calcium ion homeostasis","24/310","375/17913",4.1310551404794e-08,7.77935325582138e-07,5.71622746182614e-07,"348/719/6357/6363/6352/1230/729230/1234/1236/952/1043/1193/11151/10563/4283/10800/3932/5026/5027/5294/5579/5788/6546/7052",24
"1284","turquoise","GO:0061900","glial cell activation","10/310","59/17913",6.18679001013505e-08,1.10104466169381e-06,8.09041770556122e-07,"199/712/728/1075/3684/3689/5788/51284/51311/7305",10
"1290","turquoise","GO:0150076","neuroinflammatory response","11/310","76/17913",7.35877761894147e-08,1.27460324640382e-06,9.36571696956187e-07,"199/712/728/1075/3684/3689/5788/51284/51311/7133/7305",11
"1313","turquoise","GO:0098883","synapse pruning","5/310","10/17913",3.52788620402426e-07,5.44134448325456e-06,3.9982710312275e-06,"712/713/714/718/3684",5
"1348","turquoise","GO:0042089","cytokine biosynthetic process","12/310","120/17913",1.16094155509321e-06,1.53481212120282e-05,1.12777179637626e-05,"729230/940/1536/3635/3659/4050/5588/5724/5788/51284/51311/7305",12
"1359","turquoise","GO:0099024","plasma membrane invagination","8/310","50/17913",2.09820938748339e-06,2.65472664299168e-05,1.95067903992596e-05,"199/9938/718/2207/2213/3684/3689/4481",8
"1375","turquoise","GO:0019835","cytolysis","7/310","40/17913",4.96193015618419e-06,5.9087102117208e-05,4.34168888666117e-05,"8542/3001/3002/2999/4069/5027/5551",7
"1402","turquoise","GO:0042554","superoxide anion generation","6/310","33/17913",1.91193244517161e-05,0.000206424972997029,0.000151679973983615,"54/1536/3684/3689/4688/7305",6
